title,url,company,description
DevOps инженер,https://ekaterinburg.hh.ru/vacancy/35161285?query=python, Арго студио,"Решение задач по развертыванию тестовых стендов для мобильных приложений (dev, staging, production). Обеспечения работоспособности действующих сервисов и информационных систем.  Опыт разворачивания, настройки и администрирования популярных решений по backend: Redis, Elasticsearch, RabbitMQ, Mongodb, Nginx, PostgreSQL, Python, Vault. Способность быстро вникнуть..."
DevOps,https://ekaterinburg.hh.ru/vacancy/35451504?query=python, АйТиЭм Холдинг,"Проектирование и имплементация отказоустойчивой и масштабируемой инфраструктуры для произовдства ПО. Эксплуатация и развитие системы непрерывной интеграции ПО, контроля версий ПО... Практический опыт администрирования Linux/Windows. Знание Python (синтаксис, типы данных, пекетный менеджер pip) будет большим преимуществом. Знание инструмента управления конфигурациями..."
Python разработчик (SaaS платформа Ритейлика),https://ekaterinburg.hh.ru/vacancy/33664788?query=python, Крона-КС,"Доработка и развитие существующих сервисов. Оптимизационные задачи по производительности бэкенда. Доработки и кастомизация функционала наших сервисов под специфику и бизнес... Уверенное знание Python. Опыт работы с NoSQL СУБД (mongoDB) либо PostgreSQL/MySQL/SQLite. Уклон в ""фулстек"" и опыт работы с..."
DataScience,https://ekaterinburg.hh.ru/vacancy/35532824?query=python, Сбербанк для экспертов,"...с разработанными моделями. Реализация сервисов сбора данных, создание api и организация, обработка и подготовка данных для ML алгоритмов на python. Опыт работы с Python 3. Опыт работы с Docker. Опыт с PostgreSQL. Опыт с NoSQL. Будет плюсом: Apache Kafka, Знание..."
Frontend-разработчик (React),https://ekaterinburg.hh.ru/vacancy/34922130?query=python, Восточный Ветер,"Проводить расширенный анализ клиентской базы организации, ее сегментацию на основе социально-демографических, звонковых, геоповеденческих и др. характеристик. Формировать целевую аудиторию... Опыт написание бэкендовой части и работы с СУБД. Базовые знание других языков программирования (Java, C#, Python, Ruby). Способность исследовать новые..."
Инженер по вопросам динамики и прочности (МКЭ/FEA),https://ekaterinburg.hh.ru/vacancy/34830048?query=python, ГК ПЛМ Урал,"Технические консультации, демонстрация ПО ANSYS для расчетов динамики и прочности(Mechanical , MAPDL, WB LS-DYNA, nCode, AUTODYN, AQWA).  Навыки прикладного программирования, знание одного или нескольких языков из списка:C#, Fortan, Python, Java. Опыт работы с ПО CivilFEM . "
ИТ специалист (Системный администратор),https://ekaterinburg.hh.ru/vacancy/35121939?query=python, Fresh Heads,"Языки и технологии системного программирования (bash, Python, Perl, AutoIT и др.). Проектирование, построение и сопровождение ИТ-инфраструктур корпоративных клиентов.  Опыт работы системным администратором или ИТ-инженером от 3-х лет. Системные теоретические знания по ИТ. Навыки документирования ИТ-решений. "
Разработчик ML,https://ekaterinburg.hh.ru/vacancy/35531361?query=python, Уральская горно-металлургическая компания,"Подготовка datatest из неструктурированных данных. Построение о обучение нейронных сетей. Разработка, обучение и оптимизация алгоритмов обнаружения и распознавания объектов.  Знание одного из нейросетевых пакетов (Caffe, Keras, TensorFlow, OpenVINO, catboots). Продвинутый уровень C/C++, Python. Умение разбираться в стороннем коде..."
Разработчик Node.js,https://ekaterinburg.hh.ru/vacancy/35523789?query=python, Сбербанк для экспертов,Развитие бэкенда на Node.js для поддержки мобильного приложения и Web приложения кабинета администратора. Создание Rest сервисов. Интеграция со сторонними системами.  Опыт работы с Node.JS (Express). Опыт работы с Python 3. Опыт работы с Docker. Опыт с PostgreSQL. Опыт с NoSQL. 
Java-разработчик (по разработке решений Service Desk),https://ekaterinburg.hh.ru/vacancy/32300669?query=python, NAUMEN,"Современные технологии: Java, Groovy, Maven, Spring, Hibernate и т.д. Методология agile. Непрерывная интеграция, основанная на множестве функциональных (Selenium), интеграционных... Опыт разработки на объектно-ориентированном языке (Java, C++, C#, Python или др.) от 1 года. Желательно знание шаблонов проектирования приложений. "
Devops инженер,https://ekaterinburg.hh.ru/vacancy/33647976?query=python, Тинькофф,"Создание и поддержка отказоустойчивой масштабируемой инфраструктуры бэкенд систем. Разработка CI/CD пайпланов совместно с командой разработки и тестирования.  Опыт администрирования Linux (Debian, Ubuntu). Знание одного из языков разработки: Python, Go. Знание Git. Опыт администрирования Java-приложений. "
Специалист по информационной безопасности,https://ekaterinburg.hh.ru/vacancy/34946707?query=python,ООО Группа компаний OPEN,"Настройка и управление подсистемами безопасности. Управление инцидентами безопасности. Аналитика и тестирование на наличие уязвимостей сетевого оборудования. Написание скриптов оптимизации управления... Windows и Linux на уровне администратора. Опыт автоматизации (bash, perl, python). Опыт проведения анализа защищенности. Профессиональные знания используемого в инфраструктуре..."
Разработчик отчётности (PL\SQL),https://ekaterinburg.hh.ru/vacancy/33892661?query=python,"ПАО МегаФон, Digital","Цель должности: Обеспечение подразделений информационно-аналитической отчетностью, получаемой по данным Корпоративного хранилища данных. Какие задачи необходимо решать: Развитие Корпоративного Хранилища... Высшее техническое образование. Опыт разработки на PL\SQL. Знание ключевых принципов работы BI-систем. Опыт аналитической работы с техническими заданиями..."
Специалист технической поддержки хостинга,https://ekaterinburg.hh.ru/vacancy/35533696?query=python,ООО Серверные Технологии,"Поддержка и мониторинг обслуживаемых компанией серверов (работа в команде, более 500 серверов). Взаимодействие с клиентами, работа с тикетами.  Более 3 лет опыта администрирования *nix (преимущественно CentOS и Ubuntu). Опыт администрирования Windows Server приветствуется. Опыт администрирование основных сервисов (FTP..."
DevOps engineer (Фабрика микросервисов),https://ekaterinburg.hh.ru/vacancy/33943286?query=python,"ПАО МегаФон, IT","Разработка программных решений для платформ Бизнес-сервисов, в том числе на базе OpenSource решений. Разработка архитектуры. Разработка и поддержка решений... Опыт работы с инструментами управления конфигурацией Ansible, Terraform, Forman, Puppet, Chef – любые. Знание языков, Shell, Python, Ruby, C – два любых. "
Системный администратор,https://ekaterinburg.hh.ru/vacancy/34780259?query=python, Spectrum,"Поднимать кластера для новых проектов. Настраивать сетевое оборудование cisco. Настраивать систему мониторинга prometheus. Настраивать алертинг на метрики c exporter.  Твоим преимуществом будет опыт использования в работе одного из перечисленных языков программирования: python, bash, go. Хотим отметить, что ключевым для..."
Технический специалист по гидрогазодинамике и теплообмену (CFD),https://ekaterinburg.hh.ru/vacancy/34771646?query=python, ГК ПЛМ Урал,"Технические консультации, демонстрация ПО ANSYS. Выполнение проектов (расчеты и методики) с использованием программных продуктов ANSYS CFD. Проведение тренингов по работе... Навыки прикладного программирования, знание одного или нескольких языков из списка: C, C++, C#, Fortan, Python, Java, Perl, Tcl, Scheme/Lisp. "
Инженер по эксплуатации бизнес-систем,https://ekaterinburg.hh.ru/vacancy/33400316?query=python,"ПАО МегаФон, IT",Ответственную работу по поддержке сервиса для 100 млн. абонентов. Ваши будущие задачи: Сверка данных в различных информационных системах.  Желание развиваться в сфере ИТ. Умения писать и оптимизировать запросы на SQL Oracle. Преимуществом будет знание языков программирования. 
Ведущий инженер по нагрузочному тестированию,https://ekaterinburg.hh.ru/vacancy/35523663?query=python,АО Сбербанк - Технологии,"Участие в проектах нагрузочного тестирования критичных систем Банка. Разработка и согласование методики нагрузочного тестирования. Разработка средств нагрузочного тестирования - скриптов, эмуляторов... Знание одного из языков программирования JAVA, C#, Perl, Python, C++. Опыт работы с ОС Unix(HP-UX, AIX), Windows. "
title,url,company,description
Data scientist,https://ekaterinburg.hh.ru/vacancy/33997503?query=data%20science,"ПАО МегаФон, IT","Первичная обработка данных, построение моделей, проверка гипотез, разработка архитектур моделей, оценка результатов и т.д. Текущие и будущие проекты: клиентская... Опыт работы в data science. Понимание алгоритмов машинного обучения, статистического анализа. Опыт построения аналитических моделей в Python. Умение работать с..."
Clinical Research Associate,https://ekaterinburg.hh.ru/vacancy/35426004?query=data%20science, PRA International,Ensuring the integrity of clinical data through an ability to sufficiently maintain site tracking records and working diligently to relevant... ...degree level in a life science discipline or be a licensed healthcare professional. PRA Health Sciences is an Equal Opportunity...
Java-разработчик,https://ekaterinburg.hh.ru/vacancy/35569315?query=data%20science, GlobalCareer,"Разрабатывать основы для дальнейшего масштабирования на все дистанционные каналы банка (интернет-банк, мобильные приложения, платёжные сервисы и многое другое).  Взаимодействовать с различными командами разработки, Data Science, поддержки и другими (поэтому необходимы хорошие навыки коммуникации или желание их развивать). "
Архитектор / Senior Python Developer,https://ekaterinburg.hh.ru/vacancy/35529120?query=data%20science, Тинькофф,"Доносить свои идеи по улучшению сервиса и процессов до команды. Участвовать в планировании будущего проекта, принимать архитектурные решения и писать... Стек: Python 3.7/3.8, Fast API, Kubernetes, PostgreSQL, Kafka, Prometheus. Проектировать архитектуру и разрабатывать новую версию диалоговой платформы..."
